RotationInterval(0-1s),PWMDutyCycle(0-1)
1.000000,0.0000
0.034542,0.2237
0.010467,0.1683
0.010363,0.1827
0.009366,0.1802
0.006724,0.1824
0.005300,0.1748
0.007603,0.1556
0.007191,0.1773
0.003662,0.2029
0.004179,0.1866
0.000236,0.2046
0.002762,0.2000
0.000283,0.1619
0.000747,0.1770
0.001573,0.1578
0.003229,0.1775
0.001262,0.1612
0.002248,0.2034
0.011269,0.1790
0.011270,0.1643
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.030937,0.1873
0.016399,0.1780
0.013272,0.1761
0.011821,0.1697
0.009541,0.1736
0.007456,0.1834
0.007108,0.1753
0.007899,0.1807
0.006161,0.1695
0.006069,0.1685
0.000799,0.1729
0.001401,0.1795
0.001582,0.1800
0.001547,0.1751
0.001420,0.1819
0.001245,0.1768
0.002550,0.1739
0.001396,0.1773
0.001864,0.1653
0.000207,0.1651
0.000616,0.1641
0.001210,0.1780
0.011057,0.1695
0.010800,0.1648
0.002282,0.1814
0.010181,0.1700
0.011655,0.1631
0.001273,0.1634
0.003299,0.1648
0.001660,0.1626
0.003977,0.1761
0.002135,0.1631
0.000693,0.1636
0.002381,0.1629
0.003422,0.1726
0.001315,0.1643
0.000584,0.1668
0.002059,0.1788
0.000596,0.1639
0.003914,0.1761
0.001786,0.1604
0.000182,0.1685
0.001684,0.1680
0.001609,0.1700
0.011136,0.1751
0.010987,0.1614
0.011136,0.1695
0.000265,0.1763
0.001672,0.1744
0.002068,0.1614
0.011781,0.1722
0.001265,0.1582
0.003564,0.1597
0.004574,0.1614
0.000763,0.1631
0.002574,0.1717
0.001455,0.1663
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.011480,0.1683
0.003238,0.1897
0.017339,0.1949
0.011698,0.1824
0.007710,0.1858
0.005979,0.1783
0.005002,0.1810
0.005996,0.1744
0.007171,0.1910
0.005402,0.1475
0.007430,0.1856
0.004387,0.1619
0.006662,0.1844
0.006320,0.1902
0.003548,0.1827
0.003401,0.1663
0.003435,0.1678
0.001223,0.1661
0.003840,0.1834
0.003295,0.1468
0.005038,0.1795
0.012056,0.1748
0.002752,0.1580
0.002517,0.1453
0.003582,0.1670
0.006941,0.1919
0.005740,0.1499
0.008447,0.1819
0.005028,0.1746
0.002936,0.1656
0.004799,0.1331
0.006690,0.1558
0.005267,0.1900
0.005396,0.1392
0.005945,0.1546
0.008452,0.1639
0.006656,0.1475
0.006790,0.1636
0.007447,0.1810
0.004226,0.1419
0.005820,0.1778
0.004053,0.1556
0.006714,0.1502
0.006079,0.1678
0.004870,0.1748
0.004700,0.1863
0.003203,0.1636
0.001308,0.1700
0.002930,0.1551
0.006373,0.1470
0.006054,0.1621
0.007284,0.1773
0.007423,0.1553
0.005159,0.1580
0.004530,0.1570
0.006135,0.1739
