RotationInterval(0-1s),PWMDutyCycle(0-1)
1.000000,0.0000
1.000000,0.4706
0.025640,0.6508
0.001385,0.6122
1.000000,0.0000
0.016699,0.6132
0.024727,0.5976
1.000000,0.4342
1.000000,0.5187
0.000788,0.6867
0.042191,0.5941
1.000000,0.5040
0.057865,0.5922
0.006714,0.6381
0.061820,0.5639
1.000000,0.0000
1.000000,0.4637
0.030643,0.6259
0.018696,0.5453
0.038208,0.6523
1.000000,0.0000
0.119912,0.5392
1.000000,0.5011
1.000000,0.3712
0.056145,0.5873
0.004345,0.6716
0.102066,0.4576
1.000000,0.5079
0.079923,0.5529
0.005738,0.6274
1.000000,0.4999
1.000000,0.5150
0.039195,0.5853
1.000000,0.0000
1.000000,0.5121
1.000000,0.3609
0.013704,0.5282
0.068969,0.5998
0.000377,0.5451
1.000000,0.4650
1.000000,0.5170
0.082718,0.5739
1.000000,0.0000
0.063950,0.5238
0.151534,0.5018
1.000000,0.0000
0.287514,0.5128
1.000000,0.5077
1.000000,0.4540
1.000000,0.5402
0.064962,0.6354
0.021626,0.5429
0.029186,0.6029
1.000000,0.0000
1.000000,0.0000
0.063491,0.5031
0.007500,0.4757
1.000000,0.3893
0.002868,0.5707
1.000000,0.4762
1.000000,0.4613
0.017194,0.5868
0.025041,0.6320
1.000000,0.4801
1.000000,0.5321
0.015630,0.6061
1.000000,0.0000
0.011928,0.5631
0.070497,0.5690
1.000000,0.3665
1.000000,0.4173
1.000000,0.5255
1.000000,0.4972
1.000000,0.5429
0.039453,0.5736
1.000000,0.5211
1.000000,0.5214
1.000000,0.5375
0.078388,0.5626
0.032428,0.6420
1.000000,0.5226
0.015220,0.5516
0.000363,0.5568
1.000000,0.0000
1.000000,0.4955
1.000000,0.5167
1.000000,0.4757
0.006045,0.6298
0.008656,0.6161
1.000000,0.4703
1.000000,0.5092
0.030414,0.5871
0.013423,0.6142
1.000000,0.5216
1.000000,0.5087
0.007988,0.5656
0.027129,0.6347
1.000000,0.5314
1.000000,0.5424
0.145950,0.6186
0.112131,0.6046
0.058777,0.5482
0.055758,0.5736
0.108853,0.5629
0.021400,0.5404
0.934042,0.5541
0.002971,0.5768
1.000000,0.0000
0.231787,0.5175
0.109023,0.5502
1.000000,0.4816
0.076187,0.5480
0.004262,0.6769
1.000000,0.0000
1.000000,0.5236
0.005736,0.5963
1.000000,0.5370
1.000000,0.5035
0.050376,0.6359
0.058330,0.5531
1.000000,0.5338
1.000000,0.4747
0.147470,0.5499
1.000000,0.0000
1.000000,0.0000
1.000000,0.4674
1.000000,0.5131
1.000000,0.5123
0.251815,0.5538
0.008908,0.5907
1.000000,0.5187
1.000000,0.5140
0.051532,0.6176
0.019510,0.6159
0.085555,0.5429
1.000000,0.4996
1.000000,0.5409
0.111410,0.6132
0.056278,0.6142
0.065742,0.5756
1.000000,0.5204
1.000000,0.5201
0.077706,0.6010
0.173312,0.6210
1.000000,0.0000
1.000000,0.0000
0.073618,0.6051
1.000000,0.0000
0.207486,0.4825
1.000000,0.0000
0.044854,0.6117
0.104646,0.4828
0.256039,0.5341
1.000000,0.4505
0.000790,0.6745
0.047895,0.5626
0.140001,0.5338
1.000000,0.5245
0.114693,0.5868
0.003888,0.6090
0.294254,0.5272
1.000000,0.0000
0.090255,0.6037
1.000000,0.5148
1.000000,0.4156
0.011122,0.5758
0.043861,0.6845
0.009833,0.4718
0.022811,0.5150
1.000000,0.0000
1.000000,0.0000
0.439756,0.5473
1.000000,0.3651
1.000000,0.5243
0.023479,0.6171
1.000000,0.5297
1.000000,0.4708
0.170601,0.6147
0.016335,0.6110
1.000000,0.0000
1.000000,0.5219
0.089611,0.5924
1.000000,0.5289
1.000000,0.5431
0.002514,0.6593
1.000000,0.0000
1.000000,0.5231
1.000000,0.5392
1.000000,0.4132
1.000000,0.5609
0.007184,0.6332
0.265164,0.5314
1.000000,0.0000
0.086585,0.6093
0.066472,0.4979
1.000000,0.3255
1.000000,0.4537
1.000000,0.4454
1.000000,0.4696
0.014935,0.5753
1.000000,0.0000
1.000000,0.3995
1.000000,0.4720
1.000000,0.4034
1.000000,0.5053
0.049116,0.5822
1.000000,0.4906
1.000000,0.4332
1.000000,0.5365
1.000000,0.5043
1.000000,0.5377
0.053044,0.6203
1.000000,0.5258
1.000000,0.4691
0.084993,0.5661
0.217651,0.5563
1.000000,0.4335
1.000000,0.5492
1.000000,0.5348
1.000000,0.5419
0.406085,0.6315
0.264245,0.5834
0.030416,0.6234
1.000000,0.0000
0.146317,0.5683
1.000000,0.4357
1.000000,0.0000
0.015105,0.5802
1.000000,0.5382
1.000000,0.3429
0.055350,0.6071
0.022756,0.6015
1.000000,0.4860
1.000000,0.4581
0.109828,0.6261
1.000000,0.5407
0.256316,0.5915
0.001446,0.5924
0.135170,0.5731
1.000000,0.5040
1.000000,0.5419
1.000000,0.5509
0.023631,0.5937
0.135102,0.6076
1.000000,0.5072
0.100046,0.5719
0.077105,0.5980
1.000000,0.0000
0.210849,0.5612
1.000000,0.0000
1.000000,0.4669
1.000000,0.5385
0.462338,0.5900
1.000000,0.5429
0.009018,0.6794
0.392040,0.5819
1.000000,0.5360
0.234653,0.6276
1.000000,0.0000
0.067739,0.6039
0.038351,0.5998
1.000000,0.3341
0.143258,0.6095
1.000000,0.5241
1.000000,0.5436
0.017410,0.5863
0.011982,0.5707
1.000000,0.5289
0.106088,0.6061
0.208744,0.5712
0.261399,0.6002
0.163229,0.6210
1.000000,0.5172
0.033344,0.5404
0.048334,0.5849
1.000000,0.4945
1.000000,0.4786
0.092980,0.5946
0.045867,0.5951
0.130970,0.5678
0.143568,0.6115
0.033386,0.6259
1.000000,0.5140
1.000000,0.0000
0.000435,0.6481
0.012360,0.6625
1.000000,0.0000
0.139114,0.6190
1.000000,0.4864
0.060006,0.5502
