RotationInterval(0-1s),PWMDutyCycle(0-1)
1.000000,0.5812
0.003877,0.6943
0.004566,0.6266
0.002456,0.6110
0.008147,0.5551
0.038832,0.5619
1.000000,0.5404
1.000000,0.5421
0.027917,0.6672
0.014903,0.7333
0.002089,0.5900
0.006184,0.5548
0.015996,0.5695
0.004479,0.5587
0.023033,0.5578
1.000000,0.5536
1.000000,0.5458
1.000000,0.6166
0.082436,0.6217
0.007765,0.7167
0.014093,0.5705
0.030105,0.5341
1.000000,0.5531
1.000000,0.5438
1.000000,0.5954
1.000000,0.5780
1.000000,0.6066
0.076535,0.6230
0.023669,0.6359
0.009393,0.5753
0.035509,0.5394
1.000000,0.5643
1.000000,0.5512
1.000000,0.5824
0.026116,0.6779
0.015143,0.6708
0.010862,0.5834
0.025279,0.5687
0.017119,0.5795
0.061643,0.5756
1.000000,0.5548
1.000000,0.5578
0.039555,0.6440
0.006467,0.6540
0.001904,0.5941
0.003970,0.5658
0.024033,0.5553
1.000000,0.5744
1.000000,0.5582
0.061753,0.5941
0.016106,0.6867
0.020550,0.5556
0.008387,0.5592
0.029770,0.5856
0.051407,0.5846
1.000000,0.5722
1.000000,0.5570
1.000000,0.5531
0.063068,0.6085
0.075264,0.5751
1.000000,0.5726
1.000000,0.5709
1.000000,0.5678
0.025025,0.6628
0.001652,0.5770
0.007106,0.6068
0.012266,0.5927
0.034197,0.5658
0.075453,0.5905
1.000000,0.5729
1.000000,0.5741
0.005693,0.6379
0.011128,0.7011
0.016385,0.5856
0.028911,0.5932
0.017361,0.5592
0.048527,0.5875
0.050920,0.5917
1.000000,0.5668
1.000000,0.5761
1.000000,0.5868
0.002752,0.6696
0.009716,0.6586
0.001714,0.6139
0.003029,0.5705
0.010730,0.5968
0.025077,0.5707
0.047908,0.5976
1.000000,0.5685
1.000000,0.5744
0.014113,0.6320
0.024539,0.6156
0.016431,0.6095
0.019268,0.5878
1.000000,0.5663
1.000000,0.5790
1.000000,0.5836
0.011991,0.6083
0.037442,0.6046
0.028409,0.5949
0.038711,0.5851
0.038291,0.6032
0.029500,0.5907
0.031689,0.6029
0.026446,0.5993
0.044910,0.5709
1.000000,0.5670
1.000000,0.5941
1.000000,0.5866
1.000000,0.5687
0.061418,0.6168
0.020059,0.5980
0.027635,0.5912
0.039780,0.5897
0.037446,0.6022
0.029249,0.6007
0.041708,0.5795
1.000000,0.5697
1.000000,0.5937
1.000000,0.5770
0.047827,0.6159
0.025758,0.5873
0.033247,0.6022
0.022571,0.6085
0.023247,0.5885
0.035382,0.5937
0.069178,0.5717
0.052863,0.6029
0.029104,0.5968
0.039885,0.5802
0.048178,0.5985
1.000000,0.5692
1.000000,0.5766
0.013008,0.5937
0.027149,0.6393
0.008542,0.5785
0.019707,0.5861
0.038861,0.5890
0.035933,0.6068
0.027291,0.5990
0.031914,0.5968
0.044750,0.5812
0.052290,0.5954
0.050081,0.5824
0.066441,0.5844
1.000000,0.5739
0.012279,0.6012
1.000000,0.5712
1.000000,0.5993
1.000000,0.5700
0.007837,0.6200
0.031214,0.6051
0.025268,0.5966
0.028601,0.5958
0.034748,0.5858
0.033268,0.6122
0.017662,0.5856
0.031935,0.5973
0.027049,0.6039
0.029648,0.5810
0.040211,0.6039
0.029603,0.5993
0.033874,0.5895
0.035045,0.6024
0.035952,0.5780
0.077904,0.5810
0.064000,0.5890
0.051458,0.5861
0.078683,0.5761
0.051146,0.6020
0.034367,0.5844
0.037954,0.6022
0.040251,0.5719
1.000000,0.5741
1.000000,0.5810
1.000000,0.5768
1.000000,0.5819
1.000000,0.5829
0.029047,0.6764
0.016904,0.6293
0.000627,0.6056
0.030700,0.5973
0.020117,0.5739
0.050861,0.5866
0.059643,0.5858
0.056364,0.5897
0.045489,0.5924
1.000000,0.5675
1.000000,0.5836
0.005194,0.6513
0.014908,0.6457
0.005651,0.5966
0.008069,0.6010
0.014223,0.6044
0.019623,0.5841
0.050496,0.5768
0.066470,0.5878
0.087871,0.5761
0.106959,0.5785
0.070532,0.5875
0.085020,0.5770
0.082170,0.5866
0.070770,0.5819
0.070615,0.5824
0.066315,0.5844
0.070318,0.5807
0.077553,0.5807
0.074585,0.5807
0.070312,0.5810
0.077793,0.5790
0.095653,0.5773
0.084725,0.5802
0.083507,0.5778
0.077773,0.5807
0.088353,0.5756
0.092242,0.5775
0.102589,0.5751
0.102332,0.5770
0.132039,0.5746
1.000000,0.5751
1.000000,0.5846
0.049140,0.6098
0.016151,0.6393
0.005345,0.5788
0.016170,0.5768
0.032504,0.5875
0.041014,0.5917
0.038435,0.5863
0.043905,0.5868
1.000000,0.5612
1.000000,0.5792
1.000000,0.5617
1.000000,0.5912
0.022985,0.6344
0.017139,0.5888
0.029140,0.5807
0.042572,0.5951
0.034256,0.5917
0.035771,0.5919
0.042721,0.5832
0.045972,0.5934
0.033419,0.5995
0.031278,0.5912
0.039573,0.5910
0.044662,0.5915
1.000000,0.5602
1.000000,0.5893
0.035364,0.6081
0.024956,0.6083
0.024191,0.5722
0.053787,0.5883
0.038780,0.6007
0.036088,0.5822
1.000000,0.5724
1.000000,0.5634
1.000000,0.5795
0.002260,0.6476
0.018191,0.6181
0.010788,0.6198
0.009711,0.5990
0.015524,0.5973
0.031169,0.5685
0.054722,0.5937
0.046834,0.5863
1.000000,0.5692
1.000000,0.5783
0.025913,0.6132
0.024370,0.6071
0.026748,0.5807
1.000000,0.5719
1.000000,0.6039
1.000000,0.5717
1.000000,0.5949
0.027309,0.6200
0.024556,0.6232
0.013470,0.6078
0.014237,0.6015
0.018065,0.5944
0.030776,0.5812
0.074693,0.5763
0.086989,0.5819
0.059340,0.5912
0.045699,0.5880
1.000000,0.5714
1.000000,0.5761
1.000000,0.5915
0.002297,0.6435
0.018135,0.6186
0.014648,0.5861
0.020200,0.6127
0.015939,0.6073
0.014465,0.6051
0.017152,0.6022
0.023258,0.5922
0.046627,0.5824
0.076686,0.5824
0.049256,0.6002
0.032170,0.5880
0.033055,0.6073
0.021423,0.6010
0.028037,0.5824
0.033272,0.6056
0.036444,0.5695
0.054472,0.5966
0.032756,0.6020
0.025657,0.5980
0.031238,0.5871
0.034158,0.5988
0.031869,0.5902
0.037976,0.5941
1.000000,0.5663
1.000000,0.5807
0.324863,0.6205
0.021082,0.6540
0.000391,0.5856
0.007142,0.5773
0.025814,0.5780
0.072238,0.5770
0.053186,0.5998
0.037550,0.5846
0.048889,0.5880
0.067208,0.5800
0.056355,0.5946
0.037691,0.5949
0.030537,0.5988
0.039370,0.5763
0.059990,0.5883
0.081860,0.5746
1.000000,0.0000
1.000000,0.4935
1.000000,0.5995
0.008625,0.6476
0.020893,0.6247
0.012091,0.5607
1.000000,0.5009
1.000000,0.5092
0.023347,0.6159
0.013102,0.6589
0.001227,0.5402
0.009906,0.5060
1.000000,0.5045
1.000000,0.4984
1.000000,0.5817
0.036231,0.6281
0.013876,0.6342
0.009872,0.5597
1.000000,0.5057
1.000000,0.5155
0.053006,0.5968
0.026941,0.6393
0.007489,0.5436
1.000000,0.5084
1.000000,0.5189
1.000000,0.5653
1.000000,0.5866
1.000000,0.6156
1.000000,0.6049
0.012736,0.6408
0.017331,0.6552
0.001200,0.5629
0.008828,0.5160
1.000000,0.5258
1.000000,0.5192
1.000000,0.6090
1.000000,0.6063
0.021736,0.6442
0.015635,0.6317
0.008555,0.5619
1.000000,0.5211
1.000000,0.5292
0.061794,0.6034
0.020851,0.6220
0.015154,0.5553
1.000000,0.5277
1.000000,0.5231
1.000000,0.5700
0.046654,0.6220
0.020723,0.5978
1.000000,0.5553
1.000000,0.5267
1.000000,0.5897
1.000000,0.6127
1.000000,0.6132
1.000000,0.6164
0.102163,0.6215
0.022276,0.6471
0.002868,0.5631
0.015733,0.5436
1.000000,0.5270
1.000000,0.5370
1.000000,0.5919
1.000000,0.6076
0.074089,0.6220
0.013791,0.6200
0.013405,0.5651
1.000000,0.5311
1.000000,0.5394
1.000000,0.5873
0.048722,0.5966
0.034464,0.6147
0.026963,0.5492
1.000000,0.5536
1.000000,0.5392
1.000000,0.5646
1.000000,0.5617
1.000000,0.6032
0.105271,0.6205
0.012499,0.6220
0.012520,0.5687
1.000000,0.5458
1.000000,0.5460
1.000000,0.5924
0.016912,0.6332
0.024471,0.6234
0.014050,0.5744
1.000000,0.5573
1.000000,0.5587
1.000000,0.5934
0.007873,0.6440
0.016531,0.6576
0.002921,0.5805
0.009698,0.5665
0.056133,0.5651
1.000000,0.5636
1.000000,0.5597
0.055924,0.6078
0.017111,0.6413
0.004726,0.5661
0.018759,0.5705
1.000000,0.5516
1.000000,0.5619
1.000000,0.5797
1.000000,0.6049
1.000000,0.5819
0.023554,0.6454
0.007485,0.6432
0.002978,0.5924
0.010933,0.5636
1.000000,0.5548
1.000000,0.5658
1.000000,0.6161
0.004465,0.6513
0.018251,0.6335
0.008240,0.5885
0.020387,0.5665
0.087851,0.5761
1.000000,0.5600
1.000000,0.5670
1.000000,0.6137
0.166040,0.6210
0.012612,0.6391
0.004675,0.5814
0.019493,0.5653
1.000000,0.5629
1.000000,0.5766
1.000000,0.5844
0.022867,0.6220
0.016709,0.6293
0.011278,0.5783
0.032409,0.5731
0.077544,0.5819
0.079457,0.5800
0.122364,0.5739
1.000000,0.5726
1.000000,0.5795
1.000000,0.5810
1.000000,0.6020
1.000000,0.5958
0.026993,0.6545
0.002535,0.6645
0.022030,0.5949
0.006705,0.5861
0.020836,0.5726
0.053706,0.5841
0.120540,0.5753
0.080239,0.5856
0.070800,0.5824
0.120018,0.5775
1.000000,0.5773
1.000000,0.5817
0.039375,0.6217
0.009886,0.6523
0.002923,0.5951
0.007943,0.5834
0.021066,0.5802
0.045074,0.5866
1.000000,0.5722
1.000000,0.5802
1.000000,0.5851
0.007311,0.5985
0.028701,0.6330
0.012641,0.5819
0.023536,0.5861
0.050581,0.5797
0.067039,0.5853
0.066391,0.5832
0.068843,0.5822
0.095320,0.5763
0.084019,0.5839
0.095853,0.5773
0.113462,0.5807
0.104414,0.5783
0.067093,0.5873
0.063089,0.5790
0.080470,0.5807
0.078689,0.5805
0.079649,0.5797
0.073972,0.5797
0.081535,0.5783
0.086579,0.5792
0.091739,0.5766
0.092964,0.5783
0.096456,0.5758
0.090737,0.5785
0.093298,0.5751
0.095478,0.5778
0.109999,0.5741
0.107961,0.5773
1.000000,0.5729
1.000000,0.5773
1.000000,0.5687
1.000000,0.5954
1.000000,0.5766
0.060292,0.6071
0.026810,0.5941
0.031578,0.5875
0.040104,0.5900
0.047997,0.5822
0.074715,0.5778
0.079506,0.5812
0.071046,0.5802
0.073305,0.5800
0.082569,0.5792
0.088898,0.5770
0.088005,0.5788
0.081382,0.5783
0.095291,0.5753
0.098734,0.5761
0.108330,0.5748
0.101744,0.5766
1.000000,0.5739
1.000000,0.5756
1.000000,0.5766
0.060029,0.5900
0.030922,0.6186
0.018779,0.5766
0.042642,0.5836
0.063286,0.5802
0.089486,0.5778
0.068637,0.5873
0.063781,0.5778
0.062874,0.5866
0.054191,0.5841
0.065004,0.5810
0.077011,0.5792
0.072604,0.5832
0.079597,0.5763
0.118459,0.5748
1.000000,0.5731
0.092555,0.5805
1.000000,0.5541
1.000000,0.5670
1.000000,0.5526
1.000000,0.5963
1.000000,0.5883
1.000000,0.5680
0.135640,0.6186
0.015193,0.6120
0.014652,0.5868
0.038798,0.5775
0.056142,0.5937
0.041828,0.5900
0.054235,0.5788
0.076761,0.5817
0.099895,0.5758
0.085027,0.5812
0.087525,0.5746
0.082725,0.5814
0.072753,0.5810
0.069071,0.5812
0.076655,0.5790
0.079378,0.5802
0.084704,0.5783
0.088211,0.5783
0.096100,0.5766
0.106890,0.5766
0.104630,0.5770
0.115978,0.5768
0.103463,0.5778
0.072801,0.5836
0.073067,0.5770
0.100105,0.5758
0.098033,0.5770
0.095574,0.5758
0.087274,0.5770
0.094062,0.5756
0.100283,0.5761
0.101632,0.5748
0.108625,0.5756
0.096042,0.5746
0.100270,0.5748
0.104304,0.5739
0.101133,0.5756
0.107697,0.5736
0.121864,0.5744
1.000000,0.5736
1.000000,0.5817
1.000000,0.5873
0.033142,0.6313
0.006816,0.6432
0.002902,0.5863
0.008522,0.5790
0.026014,0.5739
0.060682,0.5824
0.119448,0.5722
0.081087,0.5824
0.058818,0.5846
0.069476,0.5785
0.084729,0.5788
0.103467,0.5753
0.095642,0.5770
0.097587,0.5753
0.090546,0.5780
0.099831,0.5748
0.092218,0.5783
0.108117,0.5751
0.106145,0.5785
0.103183,0.5758
0.087007,0.5783
0.087001,0.5756
0.093410,0.5758
0.089046,0.5770
0.085123,0.5761
0.083260,0.5763
0.100386,0.5741
0.103534,0.5756
0.101241,0.5748
0.094630,0.5758
0.099785,0.5736
0.093201,0.5758
0.090413,0.5744
0.089410,0.5763
0.092194,0.5753
0.107793,0.5744
0.116818,0.5758
0.121523,0.5739
0.080741,0.5805
0.066976,0.5797
0.086114,0.5741
1.000000,0.5653
1.000000,0.5746
1.000000,0.5988
0.040558,0.6269
0.009748,0.6274
0.006204,0.5785
0.016434,0.5734
1.000000,0.5685
1.000000,0.5832
0.005751,0.5998
0.026919,0.6379
0.008476,0.5819
0.020447,0.5746
0.054729,0.5790
0.058057,0.5912
0.058799,0.5773
1.000000,0.5724
0.087348,0.5866
1.000000,0.5731
1.000000,0.5709
1.000000,0.5512
1.000000,0.5665
1.000000,0.5946
0.004024,0.6225
0.028125,0.6178
0.017960,0.5929
0.026628,0.5895
0.038977,0.5907
0.047930,0.5849
0.044047,0.5966
0.038914,0.5805
0.063552,0.5822
