RotationInterval(0-1s),PWMDutyCycle(0-1)
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.059650,0.6628
0.139883,0.6220
0.131086,0.6210
1.000000,0.6066
0.123550,0.6635
0.114806,0.6188
0.144977,0.6244
0.130010,0.6181
0.126396,0.6151
0.137677,0.6117
0.144431,0.6110
0.140711,0.6098
0.137684,0.6081
0.148199,0.6066
1.000000,0.6063
0.050228,0.6598
1.000000,0.6156
0.060892,0.6549
0.211041,0.6200
0.165646,0.6281
0.137455,0.6203
0.165702,0.6154
0.169221,0.6151
0.144423,0.6139
0.140925,0.6107
0.149302,0.6090
0.142925,0.6085
0.129146,0.6071
0.153719,0.6051
0.176726,0.6056
0.163744,0.6061
0.296403,0.6044
1.000000,0.6127
0.135655,0.6598
0.086637,0.6195
0.090707,0.6234
0.096672,0.6151
0.128098,0.6134
0.131351,0.6120
0.123822,0.6105
0.116785,0.6081
0.130994,0.6063
0.135351,0.6061
0.147244,0.6054
0.162471,0.6051
0.176269,0.6051
0.253053,0.6051
0.312053,0.6098
0.422208,0.6137
0.284352,0.6205
0.175444,0.6122
0.213307,0.6049
1.000000,0.6076
0.087217,0.6601
0.090390,0.6171
0.096348,0.6234
0.076620,0.6164
0.092826,0.6127
0.121471,0.6095
0.137864,0.6098
0.138560,0.6090
0.204041,0.6076
0.257986,0.6115
0.503863,0.6149
0.176588,0.6298
0.181853,0.6107
0.156636,0.6098
0.134044,0.6081
0.134949,0.6051
0.188479,0.6037
0.178048,0.6056
0.186970,0.6042
0.234478,0.6032
0.213190,0.6061
1.000000,0.6046
0.075893,0.6584
0.159184,0.6161
0.128634,0.6247
1.000000,0.6168
0.018796,0.6642
1.000000,0.6176
0.143620,0.6564
0.148344,0.6230
0.110311,0.6259
0.132474,0.6159
0.139802,0.6149
0.152313,0.6129
0.163555,0.6117
0.174557,0.6110
0.208766,0.6105
0.189163,0.6122
0.258855,0.6100
0.238576,0.6142
0.284702,0.6132
0.205966,0.6156
1.000000,0.6110
0.091814,0.6601
0.164690,0.6181
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.038853,0.6628
0.047620,0.6210
0.060483,0.6176
0.056252,0.6117
0.047326,0.6134
0.050898,0.6093
0.058076,0.6078
0.058509,0.6066
0.063419,0.6046
0.069936,0.6029
0.081668,0.6020
0.083285,0.6015
0.074016,0.6005
0.076853,0.5990
0.082998,0.5983
0.087974,0.5978
0.085928,0.5973
0.087483,0.5963
0.083815,0.5956
0.089876,0.5949
0.103357,0.5946
0.104405,0.5949
0.118390,0.5946
0.120079,0.5951
0.117640,0.5951
0.136337,0.5949
0.134121,0.5958
0.126624,0.5958
0.120099,0.5954
0.096521,0.5949
0.088411,0.5937
0.093657,0.5937
0.095147,0.5939
0.102225,0.5939
0.119388,0.5941
0.126328,0.5949
0.134338,0.5954
0.131203,0.5956
0.132326,0.5956
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.040742,0.6628
0.089822,0.6210
0.144870,0.6188
0.212177,0.6083
0.221109,0.6193
0.184312,0.6176
0.312806,0.6142
0.423640,0.6220
1.000000,0.6293
0.146373,0.6620
0.179956,0.6239
0.135143,0.6274
0.145230,0.6186
0.127981,0.6161
0.130658,0.6125
0.181174,0.6105
0.172184,0.6122
0.229367,0.6105
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.102410,0.6628
0.083809,0.6239
0.110458,0.6203
1.000000,0.6078
0.063510,0.6642
1.000000,0.6173
0.764262,0.6557
0.139935,0.6549
0.117216,0.6283
0.136367,0.6247
0.177287,0.6195
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.128562,0.6628
0.104028,0.6252
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.044750,0.6628
0.046855,0.6212
0.055992,0.6178
0.054889,0.6117
0.046559,0.6134
0.045780,0.6095
0.058266,0.6078
0.056305,0.6066
0.063280,0.6049
0.071663,0.6029
0.075426,0.6022
0.083405,0.6012
0.084566,0.6005
0.089764,0.5998
0.110463,0.5990
0.102817,0.5993
0.108763,0.5980
0.103537,0.5976
0.085368,0.5966
0.082284,0.5949
0.097278,0.5941
0.090740,0.5949
0.095191,0.5941
0.116370,0.5941
0.129418,0.5951
0.138821,0.5956
0.131463,0.5961
0.131837,0.5956
0.138832,0.5956
0.129422,0.5961
0.135417,0.5956
0.168915,0.5958
0.171149,0.5978
0.126100,0.5980
0.097257,0.5954
0.085689,0.5937
0.100856,0.5937
0.098767,0.5946
0.093294,0.5941
0.110116,0.5937
0.129944,0.5946
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.043618,0.6628
0.104747,0.6212
0.177871,0.6193
0.241430,0.6081
0.278650,0.6210
1.000000,0.6210
0.112648,0.6620
0.173855,0.6205
0.189217,0.6266
0.248609,0.6215
0.196104,0.6230
0.183214,0.6173
1.000000,0.6147
0.074309,0.6623
0.091314,0.6183
0.123745,0.6244
0.091707,0.6183
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.046073,0.6628
0.050229,0.6212
0.063774,0.6178
0.060791,0.6112
0.052362,0.6132
0.063884,0.6093
0.070147,0.6076
0.071627,0.6063
0.070605,0.6044
0.064957,0.6029
0.072901,0.6015
0.070314,0.6010
0.075197,0.5998
0.081187,0.5990
0.094036,0.5985
0.105784,0.5983
0.124006,0.5983
0.125806,0.5983
0.134345,0.5978
0.121725,0.5973
0.119539,0.5958
0.184447,0.5956
1.000000,0.5990
0.116697,0.6574
0.052727,0.6156
0.054932,0.6215
0.042386,0.6139
0.051135,0.6129
0.050667,0.6100
0.053222,0.6085
0.059320,0.6066
0.069523,0.6049
0.076484,0.6034
0.087947,0.6024
0.098919,0.6020
0.107555,0.6015
0.098926,0.6010
0.090527,0.5998
0.088099,0.5983
0.093786,0.5973
0.100351,0.5968
0.103748,0.5963
0.102327,0.5956
0.097977,0.5949
0.100515,0.5944
0.125316,0.5944
0.127134,0.5954
0.149540,0.5954
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.040004,0.6628
0.108018,0.6210
0.159774,0.6193
0.160546,0.6078
0.155579,0.6151
0.145565,0.6117
0.141676,0.6100
0.157285,0.6088
1.000000,0.6088
0.038679,0.6606
1.000000,0.6159
0.084862,0.6552
0.245535,0.6205
0.176149,0.6288
0.189428,0.6208
0.252990,0.6186
0.187594,0.6212
0.162405,0.6161
0.173674,0.6127
0.177017,0.6127
0.166194,0.6117
0.157475,0.6098
1.000000,0.6081
0.030554,0.6603
0.256327,0.6156
0.135498,0.6286
0.165425,0.6193
0.170520,0.6168
0.180776,0.6156
0.308054,0.6147
0.196303,0.6217
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.039968,0.6628
0.046505,0.6210
0.084647,0.6176
0.108714,0.6107
0.088571,0.6139
0.086391,0.6085
0.062895,0.6068
0.069782,0.6046
0.071503,0.6037
0.071182,0.6027
0.076044,0.6015
0.085517,0.6007
0.092563,0.6005
0.102282,0.6000
0.113078,0.5998
0.119240,0.5995
0.115204,0.5990
0.107182,0.5980
0.101289,0.5968
0.111935,0.5956
0.113987,0.5956
0.115572,0.5954
0.119292,0.5951
1.000000,0.0000
1.000000,0.0000
