RotationInterval(0-1s),PWMDutyCycle(0-1)
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.025028,0.6999
0.047429,0.6498
0.087089,0.6498
0.108466,0.6498
0.093479,0.6496
0.089065,0.6493
0.091933,0.6491
0.079801,0.6488
0.084518,0.6486
0.091536,0.6484
0.098818,0.6481
0.117902,0.6479
0.124495,0.6476
0.123117,0.6474
0.113508,0.6471
0.115744,0.6469
0.133071,0.6466
0.206213,0.6464
1.000000,0.6462
0.102882,0.6928
0.077474,0.6435
0.092991,0.6435
0.087100,0.6435
0.089196,0.6432
0.086452,0.6430
0.104407,0.6427
0.106806,0.6425
0.106966,0.6422
0.100486,0.6420
0.116446,0.6418
0.124702,0.6415
0.139739,0.6413
0.129819,0.6410
0.111808,0.6408
0.129811,0.6405
0.129100,0.6403
0.136436,0.6400
0.140548,0.6398
0.125185,0.6396
0.100017,0.6393
0.107890,0.6391
0.116943,0.6388
0.131560,0.6386
0.199544,0.6383
1.000000,0.6381
0.112803,0.6860
0.148013,0.6369
1.000000,0.6369
0.098875,0.6791
0.107735,0.6305
0.088214,0.6689
0.078225,0.6369
0.117524,0.6366
0.167374,0.6364
0.156233,0.6361
0.151305,0.6359
0.152570,0.6357
0.162424,0.6354
0.163525,0.6352
0.191564,0.6349
0.173959,0.6347
0.224062,0.6344
1.000000,0.6342
0.110373,0.6723
0.137697,0.6242
0.126694,0.6620
0.110394,0.6305
0.215064,0.6303
1.000000,0.6300
0.068207,0.6657
1.000000,0.6181
0.081071,0.6589
0.148849,0.6488
0.112451,0.6554
0.184354,0.6242
1.000000,0.6239
0.208061,0.6523
0.123333,0.6425
0.113989,0.6488
1.000000,0.6181
0.112688,0.6459
0.167981,0.6359
0.138551,0.6425
0.103093,0.6488
0.094157,0.6440
0.139467,0.6391
0.215441,0.6342
0.269438,0.6293
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.040722,0.6999
0.040415,0.6498
0.131690,0.6498
0.347465,0.6498
1.000000,0.6496
0.062925,0.6928
1.000000,0.6435
0.125620,0.6860
0.131804,0.6755
1.000000,0.6435
0.113968,0.6791
0.159547,0.6689
0.144172,0.6755
0.721828,0.6435
1.000000,0.6432
0.117324,0.6723
0.183032,0.6620
0.190920,0.6689
1.000000,0.6369
0.272281,0.6657
1.000000,0.6554
0.310160,0.6589
0.121415,0.6882
0.121994,0.6620
0.255534,0.6689
0.167220,0.6686
0.147995,0.6684
0.487058,0.6681
0.275851,0.6679
0.259559,0.6676
0.340067,0.6674
0.249355,0.6672
0.178731,0.6669
0.254414,0.6667
0.262487,0.6664
0.267408,0.6662
0.263524,0.6659
0.224366,0.6657
0.302967,0.6654
0.355920,0.6652
0.308234,0.6650
0.200378,0.6647
0.397888,0.6645
0.529600,0.6642
1.000000,0.6593
1.000000,0.6523
0.128063,0.6850
0.154909,0.6813
1.000000,0.6554
0.196636,0.6781
0.163673,0.6745
0.122808,0.6882
0.145668,0.6620
0.241895,0.6571
0.417537,0.6523
1.000000,0.6474
0.243776,0.6713
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.039391,0.6393
0.076539,0.6295
0.098405,0.6359
0.129499,0.6425
0.113615,0.6376
0.152212,0.6327
0.239858,0.6278
1.000000,0.6230
0.215177,0.6330
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.047758,0.6647
0.055984,0.6679
0.058354,0.6813
0.090915,0.6554
0.464844,0.6552
0.293570,0.6549
0.429353,0.6547
1.000000,0.6545
0.285290,0.6579
0.414677,0.6611
0.209063,0.6745
1.000000,0.6488
1.000000,0.6513
0.141480,0.6840
0.897976,0.6545
0.237554,0.6679
0.167319,0.6813
0.162254,0.6764
0.207215,0.6716
0.161810,0.6667
0.155078,0.6618
0.204460,0.6569
0.363280,0.6520
1.000000,0.6471
0.094201,0.6772
0.146871,0.6479
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.045342,0.6266
0.071976,0.6234
0.087344,0.6295
0.116239,0.6359
0.135029,0.6357
0.156283,0.6354
0.205673,0.6352
0.200241,0.6349
0.212682,0.6347
0.231820,0.6344
0.214689,0.6342
0.198424,0.6339
0.192984,0.6337
0.356137,0.6335
0.286056,0.6332
0.203463,0.6330
0.184597,0.6327
0.159127,0.6325
0.125426,0.6322
0.137331,0.6320
0.160099,0.6317
0.210828,0.6315
1.000000,0.6313
1.000000,0.6203
0.121476,0.6513
1.000000,0.6171
0.328893,0.6449
1.000000,0.6479
1.000000,0.6383
0.122974,0.6703
0.082526,0.6803
0.088545,0.6234
0.278396,0.6295
0.299092,0.6293
0.439612,0.6291
0.353243,0.6288
0.252519,0.6286
0.242625,0.6283
0.195856,0.6281
0.180586,0.6278
0.234278,0.6276
0.448492,0.6274
0.380791,0.6271
1.000000,0.6269
0.125500,0.6637
0.079503,0.6735
1.000000,0.6171
0.020107,0.6569
0.128149,0.6669
0.086156,0.6479
0.173157,0.6234
1.000000,0.6232
0.157085,0.6503
0.091168,0.6601
0.109642,0.6415
1.000000,0.6171
0.289061,0.6440
0.264375,0.6535
1.000000,0.6352
1.000000,0.6374
0.099677,0.6694
0.104016,0.6471
0.076795,0.6669
0.073227,0.6479
0.084525,0.6476
0.102378,0.6474
0.106792,0.6471
0.128830,0.6469
0.120153,0.6466
0.098829,0.6464
0.100032,0.6462
0.092608,0.6459
0.096213,0.6457
0.093150,0.6454
0.122637,0.6452
0.167291,0.6449
0.147751,0.6447
0.182984,0.6444
0.175039,0.6442
0.118575,0.6440
0.108004,0.6437
0.117410,0.6435
0.127858,0.6432
0.155840,0.6430
0.196505,0.6427
0.162439,0.6425
0.125536,0.6422
0.109585,0.6420
0.139113,0.6371
0.187745,0.6322
1.000000,0.6274
0.114766,0.6628
0.154391,0.6405
0.129622,0.6601
0.141003,0.6415
0.163696,0.6366
0.160465,0.6317
0.186682,0.6269
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.046494,0.6703
0.056577,0.6415
0.126659,0.6611
0.162367,0.6745
0.147439,0.6742
0.132965,0.6740
0.135483,0.6737
0.158043,0.6735
0.236875,0.6733
0.172057,0.6730
0.130463,0.6728
0.182696,0.6725
0.194045,0.6723
0.193741,0.6720
0.323985,0.6718
0.215731,0.6716
0.224902,0.6713
0.290995,0.6711
0.252341,0.6708
0.166601,0.6706
0.102474,0.6703
0.110125,0.6701
0.197114,0.6698
0.157954,0.6696
0.218806,0.6694
0.186780,0.6691
0.155644,0.6689
0.210217,0.6686
0.267931,0.6684
0.319227,0.6681
0.746544,0.6679
0.526196,0.6676
0.298383,0.6674
0.243431,0.6672
0.225608,0.6669
0.191938,0.6667
0.234077,0.6664
0.215869,0.6662
0.296722,0.6659
1.000000,0.6657
1.000000,0.6637
0.100605,0.6967
1.000000,0.6352
0.154091,0.6899
0.143428,0.6669
0.338079,0.6545
0.281826,0.6679
0.154638,0.6676
0.164272,0.6674
0.467997,0.6672
0.325567,0.6669
0.254879,0.6667
0.221827,0.6664
0.217109,0.6662
0.136994,0.6659
0.181576,0.6657
0.180473,0.6654
0.201706,0.6652
0.236314,0.6650
0.184893,0.6647
0.537302,0.6645
0.304543,0.6642
0.256064,0.6640
0.230283,0.6637
0.676844,0.6635
0.541863,0.6632
1.000000,0.6630
0.165559,0.6830
