RotationInterval(0-1s),PWMDutyCycle(0-1)
1.000000,0.4902
1.000000,0.4990
1.000000,0.5664
0.138693,0.6094
1.000000,0.5732
0.097892,0.6191
0.179187,0.5908
0.215099,0.5840
0.276327,0.5762
1.000000,0.5723
0.086868,0.6221
0.126372,0.5879
0.123480,0.5850
0.132905,0.5820
0.161478,0.5801
0.250234,0.5762
1.000000,0.5703
0.118098,0.6211
0.134327,0.5869
0.137682,0.5840
0.160274,0.5811
0.176662,0.5791
0.266462,0.5752
1.000000,0.5693
0.150398,0.6211
0.144516,0.5850
0.206450,0.5830
1.000000,0.5771
0.053827,0.6250
0.145626,0.5928
0.119983,0.5869
0.134206,0.5840
0.207089,0.5820
0.174042,0.5752
0.232633,0.5762
1.000000,0.5713
0.125437,0.6201
0.136440,0.5869
0.146261,0.5840
0.157136,0.5811
0.187714,0.5801
1.000000,0.5752
0.076365,0.6221
0.179505,0.5908
1.000000,0.5840
0.153684,0.6279
1.000000,0.5898
1.000000,0.6299
1.000000,0.6416
1.000000,0.6357
1.000000,0.6377
1.000000,0.6387
1.000000,0.6387
1.000000,0.6387
1.000000,0.6387
1.000000,0.6396
1.000000,0.6396
1.000000,0.6396
1.000000,0.6396
1.000000,0.6396
1.000000,0.6396
1.000000,0.6396
1.000000,0.6396
1.000000,0.6396
1.000000,0.6396
1.000000,0.6396
1.000000,0.6396
1.000000,0.6396
1.000000,0.6396
1.000000,0.6396
1.000000,0.6396
1.000000,0.6396
1.000000,0.6396
1.000000,0.6396
1.000000,0.6396
1.000000,0.6396
1.000000,0.6396
1.000000,0.5820
0.051517,0.6240
0.225691,0.5820
0.205202,0.5781
0.178143,0.5771
0.200375,0.5762
0.376172,0.5723
1.000000,0.5615
0.131605,0.6299
0.088797,0.5830
0.104909,0.5850
0.139969,0.5820
0.151129,0.5801
0.180827,0.5771
1.000000,0.5742
0.078910,0.6309
0.163407,0.5908
0.149928,0.5850
0.134751,0.5820
0.147048,0.5811
0.172270,0.5771
0.302486,0.5752
1.000000,0.5674
0.088820,0.6309
0.127303,0.5879
0.138063,0.5859
0.179708,0.5830
1.000000,0.5791
0.006195,0.6338
0.181850,0.5967
0.131820,0.5859
0.125225,0.5850
0.133019,0.5830
0.144605,0.5801
0.143278,0.5781
0.153796,0.5771
0.195732,0.5762
0.263451,0.5732
1.000000,0.5693
0.089713,0.6299
0.125338,0.5889
0.111183,0.5859
0.116227,0.5850
0.126106,0.5830
0.168010,0.5801
0.263742,0.5771
1.000000,0.5713
0.087490,0.6309
0.103976,0.5889
0.093558,0.5879
0.097199,0.5859
0.106505,0.5850
0.136199,0.5820
1.000000,0.5801
0.020542,0.6348
0.230094,0.5967
0.182441,0.5830
0.163815,0.5840
0.175818,0.5811
0.241777,0.5771
1.000000,0.5732
